EPOCH                                      MMS4_R_GEO_X                MMS4_R_GEO_Y                MMS4_R_GEO_Z                MMS4_V_GEO_X                MMS4_V_GEO_Y                MMS4_V_GEO_Z
dd-mm-yyyy hh:mm:ss.mil.mic                          km                          km                          km                        km/s                        km/s                        km/s
09-12-2016 09:00:00.880.000                     35841.3                     58936.9                    -27909.9                   -0.515396                    0.982352                    0.123863
09-12-2016 09:00:00.910.000                     35841.4                     58936.8                    -27909.9                   -0.515395                    0.982351                    0.123864
09-12-2016 09:00:00.940.000                     35841.5                     58936.8                    -27909.9                   -0.515393                    0.982351                    0.123865
09-12-2016 09:00:00.970.000                     35841.6                     58936.7                    -27909.9                   -0.515392                    0.982350                    0.123866
09-12-2016 09:00:01.000.000                     35841.7                     58936.7                    -27909.9                   -0.515391                    0.982350                    0.123867
09-12-2016 09:00:01.030.000                     35841.8                     58936.6                    -27909.9                   -0.515390                    0.982349                    0.123867
09-12-2016 09:00:01.060.000                     35842.0                     58936.6                    -27909.9                   -0.515389                    0.982349                    0.123868
09-12-2016 09:00:01.090.000                     35842.1                     58936.5                    -27909.9                   -0.515388                    0.982348                    0.123869
09-12-2016 09:00:01.120.000                     35842.2                     58936.5                    -27909.9                   -0.515387                    0.982347                    0.123870
09-12-2016 09:00:01.150.000                     35842.3                     58936.4                    -27909.9                   -0.515386                    0.982347                    0.123871
09-12-2016 09:00:01.180.000                     35842.4                     58936.4                    -27909.9                   -0.515385                    0.982346                    0.123872
09-12-2016 09:00:01.210.000                     35842.5                     58936.3                    -27909.9                   -0.515384                    0.982346                    0.123872
09-12-2016 09:00:01.240.000                     35842.6                     58936.3                    -27909.9                   -0.515382                    0.982345                    0.123873
09-12-2016 09:00:01.270.000                     35842.7                     58936.2                    -27909.9                   -0.515381                    0.982344                    0.123874
09-12-2016 09:00:01.300.000                     35842.9                     58936.2                    -27909.9                   -0.515380                    0.982344                    0.123875
09-12-2016 09:00:01.330.000                     35843.0                     58936.1                    -27909.9                   -0.515379                    0.982343                    0.123876
09-12-2016 09:00:01.360.000                     35843.1                     58936.1                    -27909.9                   -0.515378                    0.982343                    0.123876
09-12-2016 09:00:01.390.000                     35843.2                     58936.0                    -27909.9                   -0.515377                    0.982342                    0.123877
09-12-2016 09:00:01.420.000                     35843.3                     58936.0                    -27909.9                   -0.515376                    0.982342                    0.123878
09-12-2016 09:00:01.450.000                     35843.4                     58935.9                    -27909.9                   -0.515375                    0.982341                    0.123879
09-12-2016 09:00:01.480.000                     35843.5                     58935.9                    -27909.9                   -0.515374                    0.982340                    0.123880
09-12-2016 09:00:01.510.000                     35843.7                     58935.8                    -27909.9                   -0.515372                    0.982340                    0.123880
09-12-2016 09:00:01.540.000                     35843.8                     58935.8                    -27909.9                   -0.515371                    0.982339                    0.123881
09-12-2016 09:00:01.570.000                     35843.9                     58935.7                    -27909.9                   -0.515370                    0.982339                    0.123882
09-12-2016 09:00:01.600.000                     35844.0                     58935.7                    -27909.8                   -0.515369                    0.982338                    0.123883
09-12-2016 09:00:01.630.000                     35844.1                     58935.6                    -27909.8                   -0.515368                    0.982337                    0.123884
09-12-2016 09:00:01.660.000                     35844.2                     58935.6                    -27909.8                   -0.515367                    0.982337                    0.123884
09-12-2016 09:00:01.690.000                     35844.3                     58935.6                    -27909.8                   -0.515366                    0.982336                    0.123885
09-12-2016 09:00:01.720.000                     35844.4                     58935.5                    -27909.8                   -0.515365                    0.982336                    0.123886
09-12-2016 09:00:01.750.000                     35844.6                     58935.5                    -27909.8                   -0.515364                    0.982335                    0.123887
09-12-2016 09:00:01.780.000                     35844.7                     58935.4                    -27909.8                   -0.515362                    0.982335                    0.123888
09-12-2016 09:00:01.810.000                     35844.8                     58935.4                    -27909.8                   -0.515361                    0.982334                    0.123889
